,批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
81,1,ZQB-0218S,24,30546,959.0,0,959.0,595.0
82,1,ZQB-0218S,24,30560,0,595.0,959.0,595.0
83,1,ZQB-0218S,24,30503,959.0,595.0,527.0,595.0
84,1,ZQB-0218S,24,30873,1918.0,0,58.0,595.0
85,1,ZQB-0218S,24,30873,1918.0,0,58.0,595.0
86,1,ZQB-0218S,25,30831,2379.5,589.0,58.0,564.0
87,1,ZQB-0218S,25,31014,2148.0,589.0,231.5,588.0
88,1,ZQB-0218S,25,30377,0,0,706.0,589.0
89,1,ZQB-0218S,25,30928,706.0,0,706.0,587.0
90,1,ZQB-0218S,25,30475,1412.0,0,832.0,586.5
91,1,ZQB-0218S,25,30392,2244.0,0,195.0,445.0
92,1,ZQB-0218S,25,30530,2244.0,445.0,195.0,48.0
93,1,ZQB-0218S,25,30530,2244.0,445.0,195.0,48.0
94,1,ZQB-0218S,26,30496,2353.0,580.0,78.0,338.0
95,1,ZQB-0218S,26,30550,0,0,2353.0,580.0
96,1,ZQB-0218S,26,30502,0,580.0,2353.0,580.0
97,1,ZQB-0218S,26,30502,0,580.0,2353.0,580.0
98,1,ZQB-0218S,27,30610,0,0,2438.0,580.0
99,1,ZQB-0218S,27,30233,0,580.0,2123.0,580.0
100,1,ZQB-0218S,27,30233,0,580.0,2123.0,580.0
101,1,ZQB-0218S,28,30735,0,580.0,959.0,579.0
102,1,ZQB-0218S,28,30580,1827.0,580.0,613.0,294.5
103,1,ZQB-0218S,28,30395,959.0,580.0,868.0,579.0
104,1,ZQB-0218S,28,30556,1827.0,874.5,613.0,92.5
105,1,ZQB-0218S,28,30774,1827.0,967.0,613.0,92.5
106,1,ZQB-0218S,28,30715,0,0,2383.0,580.0
107,1,ZQB-0218S,28,30715,0,0,2383.0,580.0
108,1,ZQB-0218S,29,30409,2056.0,918.0,384.0,48.0
109,1,ZQB-0218S,29,30390,0,0,867.0,579.0
110,1,ZQB-0218S,29,30706,1647.0,579.0,409.0,579.0
111,1,ZQB-0218S,29,30342,1779.0,0,661.0,342.0
112,1,ZQB-0218S,29,31000,867.0,0,912.0,579.0
113,1,ZQB-0218S,29,30235,0,579.0,1647.0,579.0
114,1,ZQB-0218S,29,30235,0,579.0,1647.0,579.0
115,1,ZQB-0218S,30,30987,2389.0,0,48.0,395.0
116,1,ZQB-0218S,30,30501,1137.0,0,390.0,579.0
117,1,ZQB-0218S,30,30783,1647.0,579.0,753.0,578.0
118,1,ZQB-0218S,30,30404,1527.0,0,302.0,579.0
119,1,ZQB-0218S,30,30662,2400.0,806.0,38.0,297.0
120,1,ZQB-0218S,30,30432,0,0,1137.0,579.0
121,1,ZQB-0218S,30,30549,0,579.0,1647.0,579.0
122,1,ZQB-0218S,30,30434,1829.0,0,560.0,561.0
123,1,ZQB-0218S,30,30434,1829.0,0,560.0,561.0
124,1,ZQB-0218S,31,30398,2198.0,0,239.0,539.0
125,1,ZQB-0218S,31,30239,2303.0,578.0,132.5,393.0
126,1,ZQB-0218S,31,30221,0,578.0,2303.0,578.0
127,1,ZQB-0218S,31,30221,0,578.0,2303.0,578.0
128,1,ZQB-0218S,32,30855,0,578.0,2398.0,578.0
129,1,ZQB-0218S,32,30615,2398.0,578.0,38.0,438.0
130,1,ZQB-0218S,32,30480,2048.0,0,392.0,221.0
131,1,ZQB-0218S,32,30480,2048.0,0,392.0,221.0
132,1,ZQB-0218S,33,30732,0,0,1198.0,578.0
133,1,ZQB-0218S,33,30884,1198.0,0,472.0,578.0
134,1,ZQB-0218S,33,30411,2098.0,578.0,342.0,439.0
135,1,ZQB-0218S,33,30421,0,578.0,2098.0,578.0
136,1,ZQB-0218S,33,30421,0,578.0,2098.0,578.0
137,1,ZQB-0218S,34,30338,868.0,577.0,1572.0,329.0
138,1,ZQB-0218S,34,30644,762.0,0,868.0,577.0
139,1,ZQB-0218S,34,30848,0,577.0,868.0,577.0
140,1,ZQB-0218S,34,30571,2391.0,0,48.0,197.0
141,1,ZQB-0218S,34,30808,2391.0,197.0,48.0,197.0
142,1,ZQB-0218S,34,30213,1630.0,0,761.0,577.0
143,1,ZQB-0218S,34,30213,1630.0,0,761.0,577.0
144,1,ZQB-0218S,35,30543,0,0,819.0,577.0
145,1,ZQB-0218S,35,30273,1582.0,0,858.0,380.0
146,1,ZQB-0218S,35,30253,819.0,0,763.0,577.0
147,1,ZQB-0218S,35,30471,0,577.0,1951.0,577.0
148,1,ZQB-0218S,35,30471,0,577.0,1951.0,577.0
149,1,ZQB-0218S,36,30460,2024.0,577.0,414.5,444.5
150,1,ZQB-0218S,36,30638,1532.0,0,748.0,576.0
151,1,ZQB-0218S,36,30302,0,577.0,1222.0,575.0
152,1,ZQB-0218S,36,30419,1222.0,577.0,802.0,575.0
153,1,ZQB-0218S,36,30908,0,0,1532.0,577.0
154,1,ZQB-0218S,36,30908,0,0,1532.0,577.0
155,1,ZQB-0218S,37,30417,2061.0,0,379.0,437.0
156,1,ZQB-0218S,37,30941,0,0,2061.0,575.0
157,1,ZQB-0218S,37,30431,2397.0,575.0,38.0,567.0
158,1,ZQB-0218S,37,30217,0,575.0,949.0,575.0
159,1,ZQB-0218S,37,30579,949.0,575.0,949.0,575.0
160,1,ZQB-0218S,37,30579,949.0,575.0,949.0,575.0
161,1,ZQB-0218S,38,30326,0,575.0,766.0,569.0
162,1,ZQB-0218S,38,30747,766.0,575.0,281.5,569.0
163,1,ZQB-0218S,38,30618,949.0,0,660.0,574.0
164,1,ZQB-0218S,38,30900,1609.0,0,660.0,574.0
165,1,ZQB-0218S,38,30537,2269.0,0,168.0,527.0
166,1,ZQB-0218S,38,30751,0,0,949.0,575.0
167,1,ZQB-0218S,38,30751,0,0,949.0,575.0
168,1,ZQB-0218S,39,30565,2318.0,806.0,118.0,238.0
169,1,ZQB-0218S,39,30793,2098.0,0,339.0,472.0
170,1,ZQB-0218S,39,30886,0,0,2098.0,568.0
171,1,ZQB-0218S,39,30255,0,568.0,926.0,562.0
172,1,ZQB-0218S,39,30211,1324.0,568.0,329.0,562.0
173,1,ZQB-0218S,39,30229,1653.0,568.0,329.0,562.0
174,1,ZQB-0218S,39,30602,2260.0,568.0,58.0,562.0
175,1,ZQB-0218S,39,30918,1982.0,568.0,278.0,562.0
176,1,ZQB-0218S,39,30310,926.0,568.0,398.0,562.0
177,1,ZQB-0218S,39,30310,926.0,568.0,398.0,562.0
178,1,ZQB-0218S,40,30424,2378.0,561.0,58.0,533.0
179,1,ZQB-0218S,40,30268,0,561.0,2378.0,560.0
180,1,ZQB-0218S,40,30729,0,0,902.0,561.0
181,1,ZQB-0218S,40,30954,1462.0,0,310.0,561.0
182,1,ZQB-0218S,40,30761,902.0,0,560.0,561.0
183,1,ZQB-0218S,40,30761,902.0,0,560.0,561.0
184,1,ZQB-0218S,41,30744,1222.0,560.0,823.0,558.0
185,1,ZQB-0218S,41,30459,1735.0,0,448.0,560.0
186,1,ZQB-0218S,41,30940,0,560.0,1222.0,559.0
187,1,ZQB-0218S,41,30386,2183.0,0,257.0,262.0
188,1,ZQB-0218S,41,30693,0,0,824.0,560.0
189,1,ZQB-0218S,41,30687,824.0,0,911.0,560.0
190,1,ZQB-0218S,41,30687,824.0,0,911.0,560.0
191,1,ZQB-0218S,42,30611,2098.0,558.0,339.0,354.0
192,1,ZQB-0218S,42,30758,2294.0,0,146.0,298.0
193,1,ZQB-0218S,42,30711,0,558.0,2098.0,558.0
194,1,ZQB-0218S,42,30897,2216.0,0,78.0,558.0
195,1,ZQB-0218S,42,30447,1827.0,0,389.0,558.0
196,1,ZQB-0218S,42,30911,1065.0,0,762.0,558.0
197,1,ZQB-0218S,42,30911,1065.0,0,762.0,558.0
198,1,ZQB-0218S,43,30548,0,0,2356.0,558.0
199,1,ZQB-0218S,43,30587,0,558.0,2356.0,558.0
200,1,ZQB-0218S,43,30674,2356.0,558.0,78.0,488.0
201,1,ZQB-0218S,43,30674,2356.0,558.0,78.0,488.0
202,1,ZQB-0218S,44,30467,2343.0,558.0,92.5,258.0
203,1,ZQB-0218S,44,30697,0,558.0,605.0,557.5
204,1,ZQB-0218S,44,30210,0,0,866.0,558.0
205,1,ZQB-0218S,44,30262,2343.0,816.0,92.5,290.0
206,1,ZQB-0218S,44,30630,1746.0,0,694.0,375.0
207,1,ZQB-0218S,44,30230,1865.0,558.0,478.0,519.0
208,1,ZQB-0218S,44,30906,866.0,0,880.0,558.0
209,1,ZQB-0218S,44,30906,866.0,0,880.0,558.0
210,1,ZQB-0218S,45,30512,1874.0,557.0,468.0,514.0
211,1,ZQB-0218S,45,30278,0,0,1162.0,557.0
212,1,ZQB-0218S,45,30435,1162.0,0,736.0,557.0
213,1,ZQB-0218S,45,30209,0,557.0,712.0,557.0
214,1,ZQB-0218S,45,30339,2342.0,557.0,92.5,403.0
215,1,ZQB-0218S,45,30981,1898.0,0,422.0,557.0
216,1,ZQB-0218S,45,30904,712.0,557.0,1162.0,557.0
217,1,ZQB-0218S,45,30904,712.0,557.0,1162.0,557.0
218,1,ZQB-0218S,46,30389,710.0,556.0,1056.0,555.0
219,1,ZQB-0218S,46,30383,0,0,1019.5,556.0
220,1,ZQB-0218S,46,30668,2391.0,0,48.0,495.0
221,1,ZQB-0218S,46,30907,1019.5,0,1019.5,556.0
222,1,ZQB-0218S,46,30910,2039.0,0,352.0,556.0
223,1,ZQB-0218S,46,30309,1766.0,556.0,627.0,550.0
224,1,ZQB-0218S,46,30379,2393.0,556.0,38.0,283.0
225,1,ZQB-0218S,46,30379,2393.0,556.0,38.0,283.0
226,1,ZQB-0218S,47,30347,0,0,2008.0,550.0
227,1,ZQB-0218S,47,31017,2323.0,550.0,111.0,375.0
228,1,ZQB-0218S,47,30299,766.0,550.0,1172.0,548.0
229,1,ZQB-0218S,47,30826,2008.0,0,397.0,550.0
230,1,ZQB-0218S,47,30685,1938.0,550.0,385.0,548.0
231,1,ZQB-0218S,47,30685,1938.0,550.0,385.0,548.0
232,1,ZQB-0218S,48,30270,1497.5,0,585.0,547.0
233,1,ZQB-0218S,48,30945,0,548.0,2232.0,545.0
234,1,ZQB-0218S,48,30508,0,0,1497.5,548.0
235,1,ZQB-0218S,48,30725,2082.5,0,357.5,353.0
236,1,ZQB-0218S,48,30725,2082.5,0,357.5,353.0
237,1,ZQB-0218S,49,30331,873.0,0,948.0,539.0
238,1,ZQB-0218S,49,30456,0,545.0,2232.0,543.0
239,1,ZQB-0218S,49,30842,0,0,873.0,545.0
240,1,ZQB-0218S,49,30677,1821.0,0,614.0,489.0
241,1,ZQB-0218S,49,30677,1821.0,0,614.0,489.0
242,1,ZQB-0218S,50,30976,1340.0,0,736.0,538.0
243,1,ZQB-0218S,50,30231,2216.0,538.5,223.0,338.0
244,1,ZQB-0218S,50,30606,0,538.5,1161.0,536.0
245,1,ZQB-0218S,50,30652,1161.0,538.5,1055.0,536.0
246,1,ZQB-0218S,50,30539,0,0,670.0,538.5
247,1,ZQB-0218S,50,31009,670.0,0,670.0,538.5
248,1,ZQB-0218S,50,31009,670.0,0,670.0,538.5
249,1,ZQB-0218S,51,30363,0,0,658.0,533.0
250,1,ZQB-0218S,51,30893,658.0,0,861.0,528.0
251,1,ZQB-0218S,51,30275,2048.0,533.0,388.0,439.0
252,1,ZQB-0218S,51,30266,2299.0,0,132.5,291.0
253,1,ZQB-0218S,51,30285,1519.0,0,780.0,528.0
254,1,ZQB-0218S,51,30285,1519.0,0,780.0,528.0
255,1,ZQB-0218S,52,30889,0,528.0,2048.0,528.0
256,1,ZQB-0218S,52,30614,2048.0,410.0,388.0,118.0
257,1,ZQB-0218S,52,30544,2048.0,0,387.0,410.0
258,1,ZQB-0218S,52,30225,2048.0,528.0,387.0,495.0
259,1,ZQB-0218S,52,30225,2048.0,528.0,387.0,495.0
260,1,ZQB-0218S,53,30923,0,527.0,719.0,502.0
261,1,ZQB-0218S,53,30450,719.0,527.0,1428.0,498.0
262,1,ZQB-0218S,53,30681,1387.5,0,868.0,505.0
263,1,ZQB-0218S,53,30699,2147.0,527.0,289.0,306.5
264,1,ZQB-0218S,53,31004,0,0,733.0,527.0
265,1,ZQB-0218S,53,30947,2255.5,0,183.0,365.0
266,1,ZQB-0218S,53,30947,2255.5,0,183.0,365.0
267,1,ZQB-0218S,54,30616,2281.0,0,118.0,498.0
268,1,ZQB-0218S,54,30846,998.0,498.0,118.0,498.0
269,1,ZQB-0218S,54,30324,0,0,1883.0,498.0
270,1,ZQB-0218S,54,30238,0,498.0,998.0,498.0
271,1,ZQB-0218S,54,30817,2044.0,498.0,396.0,482.0
272,1,ZQB-0218S,54,30414,1883.0,0,398.0,498.0
273,1,ZQB-0218S,54,30414,1883.0,0,398.0,498.0
274,1,ZQB-0218S,55,30624,1606.0,0,834.0,258.0
275,1,ZQB-0218S,55,30789,752.0,0,854.0,495.0
276,1,ZQB-0218S,55,30988,0,497.0,854.0,495.0
277,1,ZQB-0218S,55,30232,854.0,497.0,410.0,495.0
278,1,ZQB-0218S,55,30737,0,0,752.0,497.0
279,1,ZQB-0218S,55,30737,0,0,752.0,497.0
280,1,ZQB-0218S,56,30295,1020.5,494.0,934.0,486.5
281,1,ZQB-0218S,56,30346,1293.0,0,1020.5,493.0
282,1,ZQB-0218S,56,30890,0,494.0,1020.5,493.0
283,1,ZQB-0218S,56,30314,2313.5,0,124.5,455.5
284,1,ZQB-0218S,56,30841,1115.0,0,178.0,494.0
285,1,ZQB-0218S,56,30260,1954.5,494.0,444.0,447.0
286,1,ZQB-0218S,56,30260,1954.5,494.0,444.0,447.0
287,1,ZQB-0218S,57,30311,2100.9,0,259.0,489.0
288,1,ZQB-0218S,57,30752,0,0,2100.9,489.0
289,1,ZQB-0218S,57,30960,2359.9,0,78.0,338.0
290,1,ZQB-0218S,57,30439,0,489.0,949.0,482.5
291,1,ZQB-0218S,57,30445,949.0,489.0,942.0,482.5
292,1,ZQB-0218S,57,30445,949.0,489.0,942.0,482.5
293,1,ZQB-0218S,58,30469,0,482.5,762.0,480.0
294,1,ZQB-0218S,58,30996,762.0,482.5,1037.5,479.0
295,1,ZQB-0218S,58,30768,1993.0,0,447.0,201.0
296,1,ZQB-0218S,58,30525,2353.5,482.5,78.0,288.0
297,1,ZQB-0218S,58,30700,1993.0,201.0,447.0,195.0
298,1,ZQB-0218S,58,30465,0,0,942.0,482.5
299,1,ZQB-0218S,58,30957,1799.5,482.5,554.0,460.0
300,1,ZQB-0218S,58,30957,1799.5,482.5,554.0,460.0
301,1,ZQB-0218S,59,30689,2053.0,0,387.0,364.0
302,1,ZQB-0218S,59,30216,2053.0,364.0,387.0,58.0
303,1,ZQB-0218S,59,31008,0,480.0,2098.0,478.0
304,1,ZQB-0218S,59,30613,2098.0,480.0,339.0,429.0
305,1,ZQB-0218S,59,30613,2098.0,480.0,339.0,429.0
306,1,ZQB-0218S,60,30913,909.5,0,1049.5,475.0
307,1,ZQB-0218S,60,30226,2382.0,0,58.0,410.0
308,1,ZQB-0218S,60,30495,1959.0,0,423.0,435.0
309,1,ZQB-0218S,60,30829,644.5,476.0,821.0,462.0
310,1,ZQB-0218S,60,30598,665.0,0,244.5,476.0
311,1,ZQB-0218S,60,30365,0,0,665.0,476.0
312,1,ZQB-0218S,60,30350,1465.5,476.0,844.5,461.0
313,1,ZQB-0218S,60,30449,2310.0,476.0,129.0,222.0
314,1,ZQB-0218S,60,30449,2310.0,476.0,129.0,222.0
315,1,ZQB-0218S,61,30220,1665.5,0,178.0,460.0
316,1,ZQB-0218S,61,30308,0,460.0,819.0,458.0
317,1,ZQB-0218S,61,30950,704.5,0,395.0,460.0
318,1,ZQB-0218S,61,30320,1407.5,0,258.0,460.0
319,1,ZQB-0218S,61,30361,0,0,704.5,460.0
320,1,ZQB-0218S,61,30521,819.0,460.0,1503.0,458.0
321,1,ZQB-0218S,61,30807,1843.5,0,560.0,443.0
322,1,ZQB-0218S,61,30796,1099.5,0,308.0,460.0
323,1,ZQB-0218S,61,30796,1099.5,0,308.0,460.0
324,1,ZQB-0218S,62,30396,1008.0,0,1432.0,427.0
325,1,ZQB-0218S,62,30766,1314.5,456.0,1000.0,454.5
326,1,ZQB-0218S,62,30696,713.0,456.0,601.5,455.0
327,1,ZQB-0218S,62,30510,2314.5,456.0,124.5,393.0
328,1,ZQB-0218S,62,30703,0,0,1008.0,456.0
329,1,ZQB-0218S,62,30703,0,0,1008.0,456.0
330,1,ZQB-0218S,63,30244,2223.0,454.0,215.0,449.0
331,1,ZQB-0218S,63,30472,0,454.0,1032.0,452.5
332,1,ZQB-0218S,63,30506,2076.0,0,359.0,454.0
333,1,ZQB-0218S,63,30557,1032.0,454.0,1191.0,448.0
334,1,ZQB-0218S,63,30557,1032.0,454.0,1191.0,448.0
335,1,ZQB-0218S,64,30979,761.0,447.5,803.0,439.0
336,1,ZQB-0218S,64,30719,0,447.5,761.0,441.5
337,1,ZQB-0218S,64,30787,0,0,2185.5,447.5
338,1,ZQB-0218S,64,30500,2185.5,0,253.0,380.8
339,1,ZQB-0218S,64,30875,1564.0,447.5,736.0,439.0
340,1,ZQB-0218S,64,30875,1564.0,447.5,736.0,439.0
341,1,ZQB-0218S,65,30673,2085.0,0,238.0,438.0
342,1,ZQB-0218S,65,30927,546.0,0,721.0,438.0
343,1,ZQB-0218S,65,30833,0,438.0,530.0,431.0
344,1,ZQB-0218S,65,30205,1267.0,0,818.0,438.0
345,1,ZQB-0218S,65,30223,530.0,438.0,662.0,429.0
346,1,ZQB-0218S,65,30504,1192.0,438.0,662.0,429.0
347,1,ZQB-0218S,65,30509,1854.0,438.0,543.0,428.0
348,1,ZQB-0218S,65,30402,2323.0,0,92.5,299.0
349,1,ZQB-0218S,65,30402,2323.0,0,92.5,299.0
350,1,ZQB-0218S,66,30754,2034.0,0,310.0,430.0
351,1,ZQB-0218S,66,30418,0,0,2034.0,430.0
352,1,ZQB-0218S,66,31015,0,430.0,2034.0,430.0
353,1,ZQB-0218S,66,30684,2344.0,0,92.5,336.0
354,1,ZQB-0218S,66,30684,2344.0,0,92.5,336.0
355,1,ZQB-0218S,67,30572,2301.0,429.0,118.0,338.0
356,1,ZQB-0218S,67,30568,0,429.0,605.0,428.0
357,1,ZQB-0218S,67,30596,605.0,429.0,605.0,428.0
358,1,ZQB-0218S,67,30998,1210.0,429.0,605.0,428.0
359,1,ZQB-0218S,67,30779,0,0,662.0,429.0
360,1,ZQB-0218S,67,30847,1815.0,429.0,486.0,422.5
361,1,ZQB-0218S,67,30594,1760.0,0,680.0,337.0
362,1,ZQB-0218S,67,30594,1760.0,0,680.0,337.0
363,1,ZQB-0218S,68,30473,2184.0,428.0,248.0,306.0
364,1,ZQB-0218S,68,30279,0,0,1273.0,428.0
365,1,ZQB-0218S,68,30983,2161.0,0,279.0,185.0
366,1,ZQB-0218S,68,30653,1273.0,0,888.0,427.5
367,1,ZQB-0218S,68,30653,1273.0,0,888.0,427.5
368,1,ZQB-0218S,69,30380,0,422.5,2301.0,421.0
369,1,ZQB-0218S,69,30551,0,0,691.0,422.5
370,1,ZQB-0218S,69,30995,691.0,0,691.0,422.5
371,1,ZQB-0218S,69,30896,1382.0,0,773.5,421.5
372,1,ZQB-0218S,69,30683,2155.5,0,280.0,412.0
373,1,ZQB-0218S,69,30683,2155.5,0,280.0,412.0
374,1,ZQB-0218S,70,30655,578.0,0,1862.0,364.0
375,1,ZQB-0218S,70,30850,0,0,578.0,421.0
376,1,ZQB-0218S,70,30695,0,421.0,538.0,421.0
377,1,ZQB-0218S,70,30997,538.0,421.0,538.0,421.0
378,1,ZQB-0218S,70,30477,1076.0,421.0,1194.5,420.0
379,1,ZQB-0218S,70,30477,1076.0,421.0,1194.5,420.0
380,1,ZQB-0218S,71,30705,734.0,0,1071.5,415.0
381,1,ZQB-0218S,71,30412,0,417.0,2129.0,412.0
382,1,ZQB-0218S,71,30397,2129.0,417.0,299.0,412.0
383,1,ZQB-0218S,71,31007,2345.5,0,78.0,338.0
384,1,ZQB-0218S,71,30634,0,0,734.0,417.0
385,1,ZQB-0218S,71,30634,0,0,734.0,417.0
386,1,ZQB-0218S,72,30635,0,411.3,1984.0,411.0
387,1,ZQB-0218S,72,30234,2342.0,411.3,58.0,410.0
388,1,ZQB-0218S,72,30601,1984.0,411.3,358.0,411.0
389,1,ZQB-0218S,72,30633,659.5,0,560.0,408.0
390,1,ZQB-0218S,72,30519,2094.0,0,344.5,358.0
391,1,ZQB-0218S,72,30736,1219.5,0,874.5,405.0
392,1,ZQB-0218S,72,30736,1219.5,0,874.5,405.0
393,1,ZQB-0218S,73,30993,0,815.0,765.0,403.0
394,1,ZQB-0218S,73,30318,1868.0,815.0,278.0,403.0
395,1,ZQB-0218S,73,30723,2146.0,815.0,278.0,403.0
396,1,ZQB-0218S,73,30368,765.0,815.0,551.0,403.0
397,1,ZQB-0218S,73,30659,1316.0,815.0,552.0,403.0
398,1,ZQB-0218S,73,30215,0,0,2034.0,410.0
399,1,ZQB-0218S,73,30773,0,410.0,2391.0,405.0
400,1,ZQB-0218S,73,30405,2391.0,410.0,48.0,368.0
401,1,ZQB-0218S,73,30405,2391.0,410.0,48.0,368.0
402,1,ZQB-0218S,74,30384,1764.0,0,484.0,399.0
403,1,ZQB-0218S,74,30609,0,805.0,482.0,399.0
404,1,ZQB-0218S,74,30608,0,403.0,2351.0,402.0
405,1,ZQB-0218S,74,30867,2248.0,0,178.0,328.5
406,1,ZQB-0218S,74,30966,0,0,580.0,403.0
407,1,ZQB-0218S,74,30490,482.0,805.0,1941.0,399.0
408,1,ZQB-0218S,74,30250,2351.0,403.0,58.0,402.0
409,1,ZQB-0218S,74,30750,1204.0,0,560.0,401.0
410,1,ZQB-0218S,74,30750,1204.0,0,560.0,401.0
411,1,ZQB-0218S,75,30625,2361.0,399.0,58.0,219.0
412,1,ZQB-0218S,75,30778,0,797.5,2398.0,398.0
413,1,ZQB-0218S,75,30708,1712.0,0,728.0,329.0
414,1,ZQB-0218S,75,30748,0,0,1712.0,399.0
415,1,ZQB-0218S,75,30839,915.0,399.0,998.0,398.0
416,1,ZQB-0218S,75,30583,0,399.0,915.0,398.5
417,1,ZQB-0218S,75,30583,0,399.0,915.0,398.5
418,1,ZQB-0218S,76,30935,1817.0,0,495.0,395.0
419,1,ZQB-0218S,76,30620,2158.0,796.0,259.0,362.0
